Age,N,A95,Plat,Plon,A95,Plat,Plon,Plat,Plon,GCD
0,15,2.2,-87.5,295.4,2.3,-88,322.8,-88.5,305,0.8
10,16,2.2,-87.4,283.7,2.4,-88.4,334.3,-86.7,314.2,1.9
20,11,3.7,-84,325.4,3.6,-84.1,338.1,-84.7,332.6,0.8
30,14,3.1,-82.8,341.9,3.1,-82.8,341.9,-82.4,346.5,0.8
40,15,2.8,-81.7,338.1,3.2,-81.8,344.8,-81.3,350.3,0.9
50,20,4,-76,349.6,4.2,-75.7,358.4,-77.4,2.7,2
60,21,3.8,-74.2,355.6,3.9,-73.8,5,-73.2,9.1,1.3
70,14,4.6,-75.3,7.5,4.9,-75,18,-75.7,15,1.1
80,7,7,-74.4,14.6,7.9,-74.5,21.3,-75.9,22.8,1.4
90,4,6.3,-74.7,18.6,6.3,-74.7,18.6,-75.7,17.2,1
100,3,13.1,-75.6,0.7,13.1,-75.6,0.7,-75,5.2,1.3
110,7,4.7,-75.4,10,4.7,-75.4,10,-74.2,5.4,1.8
120,10,3.2,-72.5,16.6,3.2,-72.5,16.6,-72.7,15.1,0.5
130,7,4,-71.3,18.2,4,-71.3,18.2,-71.3,19.2,0.3
140,3,18.3,-63.3,357.1,7.1,-62.6,18.2,-67.8,15.8,5.3
150,5,12.5,-62.4,341.4,12.9,-64.1,359.8,-66.2,357.6,2.2
160,7,9.2,-62.7,319.3,10.6,-66.8,337.9,-62.7,342.6,4.6
170,6,10.6,-63.3,305.4,12.4,-67,316.1,-65.9,317,1.1
180,8,6.8,-65.9,275.3,6,-67.8,277.2,-67,283.4,2.5
190,16,3.5,-65.2,264.6,3.2,-66.5,264.9,-66.6,264.5,0.2
200,19,2.8,-63.5,262.8,2.6,-64.2,262.8,-64.7,260.9,1
210,27,2.3,-59.8,269.7,2.1,-61.3,270,-61.1,267,1.4
220,28,2.5,-56,278.2,2.5,-58,279.2,-57.3,279.6,0.8
230,19,3.3,-52.1,288,3.5,-54.5,290.1,-53.9,291.6,1.1
240,13,4.4,-50.2,292.4,4.7,-53.2,295.3,-52.3,292.8,1.8
250,4,12.5,-50.8,293.2,13.6,-53.1,294.8,-53,295.8,0.6
260,5,3.5,-52.8,302.7,3.5,-54.9,305.4,-55.1,303.9,0.9
270,7,4.2,-51.7,303.3,4.9,-53.1,305.3,-53,305.1,0.1
280,10,4.8,-47.4,303.4,5.2,-48.5,304.8,-45.9,306.1,2.8
290,13,3.9,-43.1,302,4.6,-44.4,303.6,-45.1,305.9,1.8
300,13,4.4,-42.4,302.2,5.5,-43.6,304,-42.9,304.1,0.7
310,8,7,-36.4,302.1,8,-36.4,302.9,-33.4,300.3,3.7
320,5,9.4,-26.9,301.6,8.2,-25.7,301.5,-25.8,298.7,2.6
330,5,8.8,-23.3,304.6,8.7,-21.5,304.4,-20.1,305.1,1.4
340,3,11,-21.8,310.3,8.5,-18.7,309.9,-17.7,305.7,4.2
350,-23.2,308.5,-18.1,306.5,-16.3,303.3,3.5,,,
360,-24.6,306.8,-17.4,303,-14.9,301,3.1,,,
370,1,16,-27.4,303,16,-16.6,299.6,-13.1,298.6,3.6
380,-19.5,297.9,-12.2,296,-9.7,293.7,3.3,,,
390,-11.4,293.3,-7.8,292.4,-5.8,289.5,3.5,,,
400,1,11,-3.3,289,11,-3.3,289,-4.2,288.3,1.1
410,3,19.2,-11.2,292.9,21.9,-6.3,292.7,-9.2,295,3.7
420,3,19.3,-16.6,299.4,26.2,-11.7,299.2,-14.2,301.9,3.6
430,3,17.5,-20.3,313.1,13,-17.8,311.7,-18.8,313.2,1.8
440,1,7.3,-24,326.6,7.3,-16.9,321.7,-18.8,321.2,1.9
450,-21.1,328.1,-16.5,324.8,-17.8,325.2,1.4,,,
460,-18.3,329.5,-16,327.8,-16.8,328.3,0.9,,,
470,2,11.1,-15.4,330.8,11.1,-15.4,330.8,-15.7,330.7,0.3
480,3,14.7,-13.8,336.1,14.7,-13.8,336.1,-13.9,335.8,0.3
490,7,7.9,-7.5,342.7,8.3,-6.8,341.5,-8.5,340.9,1.8
500,8,6.2,-3.8,344.5,6.6,-3.3,343.6,-2.4,344.2,1.1
510,4,12.9,-1.1,345.6,12.7,-1.4,346,3.8,349.4,6.2
520,5.5,354.9,5.3,355.1,9.1,356.7,4.1,,,
530,1,6.2,11.9,4.5,6.2,11.9,4.5,9.4,0.3,4.9