Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth,V colat (cm/yr),V lon (cm/yr),Ang V (ï¿½/Ma)
530,0.1085,-136.7387,3.7105,109.4646,1.2364,3.4984,0.3711
520,-0.9569,-133.5803,7.2309,290.8948,-2.5789,-6.7554,0.8858
510,1.0383,-139.7592,8.5156,65.1488,-3.5788,7.7270,1.0311
500,4.6487,-133.0109,10.9124,19.7363,-10.2714,3.6850,1.2745
490,14.0716,-130.2984,10.9124,12.0145,-10.6734,2.2715,1.2745
480,23.7675,-128.8285,3.6159,318.8506,-2.7228,-2.3794,0.4780
470,26.1268,-131.2906,3.8707,255.2020,0.9886,-3.7423,-0.3761
460,25.1496,-134.9921,3.4414,178.2767,3.4398,0.1035,0.3813
450,22.0620,-134.8269,4.7580,156.6695,4.3690,1.8844,0.4970
440,18.1656,-132.9559,4.7580,154.7753,4.3043,2.0277,0.4970
430,14.3310,-130.9895,11.1458,159.9474,10.4701,3.8217,1.4315
420,5.2509,-126.7348,15.0636,165.6385,14.5928,3.7364,1.7573
410,-7.4486,-122.1142,10.3120,128.3014,6.3913,8.0924,-0.9451
400,-12.9918,-114.5695,3.3935,71.1819,-1.0946,3.2121,0.3335
390,-12.0261,-111.6077,9.6243,61.4522,-4.5994,8.4542,0.9672
380,-8.0877,-103.7914,7.7206,53.8155,-4.5581,6.2314,0.7772
370,-4.1332,-98.0611,11.2831,68.2179,-4.1869,10.4775,1.0601
360,-0.5888,-88.5567,15.6499,75.3563,-3.9564,15.1416,1.4134
350,2.7757,-74.9023,15.8234,73.0606,-4.6103,15.1369,-1.4350
340,7.0330,-61.2876,16.8854,69.7329,-5.8490,15.8400,-1.5952
330,12.6253,-46.9751,17.1132,78.3091,-3.4677,16.7582,1.6143
320,14.6056,-31.2903,15.4323,354.0508,-15.3492,-1.5995,1.3893
310,28.3745,-33.0317,7.4941,23.9590,-6.8484,3.0432,0.7029
300,34.5367,-29.8512,7.7106,75.3730,-1.9471,7.4607,0.8714
290,36.3196,-21.6368,8.6250,81.1067,-1.3334,8.5213,-0.9832
280,37.5404,-12.0651,4.6544,320.8532,-3.6097,-2.9384,-0.6546
270,40.6076,-15.7245,4.5063,10.6699,-4.4284,0.8343,0.7804
260,44.6182,-14.9996,0.8932,43.4137,-0.6488,0.6138,-0.1282
250,45.2032,-14.2243,5.5426,245.0055,2.3419,-5.0236,-0.5356
240,42.8548,-20.3335,7.9584,253.8357,2.2156,-7.6438,-0.7287
230,40.4195,-29.3336,6.2259,288.6377,-1.9897,-5.8994,-0.5995
220,41.8879,-36.5033,7.2492,305.8396,-4.2446,-5.8767,-0.7129
210,45.3204,-44.1518,6.2595,298.3017,-2.9677,-5.5113,-0.5727
200,47.7073,-51.5551,7.8765,10.2180,-7.7516,1.3972,0.7098
190,54.6454,-49.3322,6.9348,40.3039,-5.2886,4.4857,0.7380
180,59.0055,-41.1830,7.2765,79.9581,-1.2688,7.1650,0.8695
170,59.2006,-28.4447,4.1424,5.7160,-4.1218,0.4126,0.4586
160,62.8898,-27.4423,4.0010,19.1500,-3.7796,1.3125,0.4653
150,66.2220,-24.3026,10.1667,53.7316,-6.0143,8.1970,0.9946
140,69.9796,-1.7854,3.7277,303.6118,-2.0635,-3.1045,0.3468
130,71.6529,-10.6288,4.8628,338.6620,-4.5295,-1.7694,0.4717
120,75.6672,-16.7992,3.0385,319.0768,-2.2959,-1.9904,-0.4335
110,77.6622,-24.9026,7.6682,239.2767,3.9176,-6.5920,0.7595
100,73.2127,-46.1708,0.9990,24.1919,-0.9113,0.4094,-0.6364
90,74.0044,-44.6756,0.9473,28.3282,-0.8339,0.4495,-0.7117
80,74.7203,-42.9718,0.8564,276.2229,-0.0928,-0.8514,-0.7988
70,74.8380,-45.8656,1.7377,216.1106,1.4039,-1.0241,-0.1677
60,73.5562,-49.1407,4.7710,250.2124,1.6152,-4.4893,0.4361
50,71.6434,-62.0097,6.1939,261.7450,0.8893,-6.1298,0.5603
40,70.1243,-78.4175,2.6704,298.2280,-1.2631,-2.3528,0.2591
30,71.1639,-84.9459,2.2201,301.4243,-1.1575,-1.8945,0.2291
20,72.1430,-90.4698,3.4932,280.5823,-0.6415,-3.4338,0.3291
10,72.4822,-100.7507,4.3999,275.7343,-0.4396,-4.3779,0.3977
0,72.4600,-113.9000,0.0000,270.0000,0.0000,0.0000,0.0000
