Unit,Site name,site_lat,site_lon,N/n,dec_is,inc_is,k ,_95 ,dec_tc,inc_tc,k ,a95,Strike,Dip,NRM (10-6 Am2/kg),_ (10-9 m3/kg)
Breccia,TUN20,72.4973,-114.0209,15/15,66.6,-15.2,112.5,3.6,66.9,9.5,67.9,4.7,162,27,0.94,66.0
Breccia,TUN21,72.4965,-114.0198,5/5,61.2,-7.8,51.8,10.7,60.8,15.8,51.8,10.7,162,24,0.51,106
Breccia,TUN34,72.4821,-113.9376,2/2,50.5,-2.5,156,20.1,43.8,32.6,156,20.1,172,42,1.64,31.6
Victoria,TUN07,72.4363,-113.8668,6/9,83.1,11.2,6.6,28.1,84.3,12.3,6.6,28.1,95,6,0.029,-0.82
Shaler,TUN29,72.4732,-113.9503,7/7,85.4,-5,52.4,8.4,85.9,22.3,49.9,8.6,170,28,0.23,10.8
Shaler,TUN31,72.4831,-113.9321,4/5,76.1,-2.6,26.9,18,72,28,26.9,18,194,35,0.095,17.2
Shaler,TUN33,72.4832,-113.9392,9/9,82.5,-0.5,50.1,7.3,53.8,46.6,11.1,16.2,200,68,0.13,9.35
Shaler,TUN36,72.4662,-113.9665,4/6,89.0,2.1,12.3,23.3,90.2,1.7,12.3,23.3,89,36,0.054,21.0
Diabase,TUN30,72.4729,-113.932,6/6,98.4,-32.7,10.8,21.3,98.1,23.2,10.8,21.3,184,56,275,11372
Diabase,TUN32,72.4827,-113.941,5/6,110.0,-35.9,48.0,11.2,110.2,33.7,48,11.2,207,70,187,9302
Diabase,TUN32#a,72.4827,-113.941,3/4,63.1,-3.7,44.2,18.8,44.2,32.4,44.2,18.8,207,70,2.96,2.30
Diabase,TUN32#b,72.4827,-113.941,3/4,304.7,55.8,54.5,16.9,301.4,-13.9,54.5,16.9,207,70,2.96,2.30
Diabase,TUN32#c,72.4827,-113.941,4/4,112.1,-58.4,66.8,11.3,114.4,11.5,66.8,11.3,207,70,2.96,2.30
Diabase,TUN35,72.4839,-113.9379,8/8,102.3,-29.6,18.5,13.2,101.5,32.8,18.5,13.2,213,66,272,16215