Unit,Site name,site_lat,site_lon,N/n,ChRM unblocking temperatures (°C),dec_is,inc_is,k ,a95,dec_tc,inc_tc,k ,a95,Strike,Dip,NRM (A.m2.kg-1),χ (m3.kg-1)
Breccia,TUN20,72.4973,-114.0209,15/15,260-590,66.6,-15.2,112.5,3.6,66.9,9.5,67.9,4.7,162,24,9.37E-07,6.61E-08
Breccia,TUN21,72.4965,-114.0198,5/5,400-530,61.2,-7.8,51.8,10.7,60.8,15.8,51.8,10.7,162,24,5.11E-07,7.39E-08
Diabase,TUN30,72.4729,-113.9320,6/6,465-590,98.4,-32.7,10.8,21.3,98.1,23.2,10.8,21.3,184,56,2.75E-04,1.14E-05
Diabase,TUN32,72.4827,-113.9410,7/8,500-590,104.8,-25.9,12.8,17.5,102.1,42.6,12.8,17.5,207,70,1.87E-04,9.30E-06
Diabase,TUN35,72.4839,-113.9379,8/8,500-590,102.3,-29.6,18.5,13.2,101.5,32.8,18.5,13.2,213,66,2.72E-04,1.62E-05
Victoria,TUN07,72.4363,-113.8668,6/9,250-310,83.1,11.2,6.6,28.1,84.3,12.3,6.6,28.1,95,6,2.92E-08,-8.21E-10
Shaler,TUN29,72.4732,-113.9503,7/7,270-350,85.4,-5.0,52.4,8.4,85.9,22.3,49.9,8.6,170,28,2.28E-07,1.08E-08
Shaler,TUN31,72.4831,-113.9321,5/5,250-350,72.4,-9.3,13.7,21.5,70.6,20.4,13.7,21.5,194,35,9.54E-08,1.72E-08
Shaler,TUN33,72.4832,-113.9392,9/9,250-330,82.5,-0.5,50.1,7.3,53.8,46.6,11.1,16.2,,,1.32E-07,9.35E-09
Shaler,TUN36,72.4662,-113.9665,6/6,230-330,87.6,-10.9,8.7,24.0,81.4,-8.0,8.7,24.0,89,36,5.43E-08,2.10E-08